transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000000,M93810,978-0-551-16436-9,2026-06-01,2026-06-25,BR004
TXN000001,M23434,978-0-9725401-4-8,2024-12-20,2024-12-22,BR002
TXN000002,M13905,978-1-203-70878-8,2026-04-24,2026-05-12,BR009
TXN000003,M36062,978-1-07-024748-9,2025-07-21,2025-08-09,BR007
TXN000004,M46463,978-1-71434-558-8,2026-04-08,2026-05-01,BR013
TXN000005,M65392,978-1-5481-3866-0,10/28/2024,2024-11-08,BR004
TXN000006,M23396,978-0-7226-0164-8,2025-01-02,2025-01-22,BR006
TXN000007,M44671,978-0-252-01930-2,2025-08-01,2025-08-31,BR009
TXN000008,M59615,978-1-9992012-3-4,2024-07-28,2024-08-26,BR014
TXN000009,M57400,978-1-267-72233-1,2025-05-31,2025-06-25,BR001
TXN000010,M47930,978-0-599-89897-4,09/02/2026,2026-02-18,BR014
TXN000011,M69429,978-0-423-30292-9,2024-07-18,2024-07-25,BR003
TXN000012,M97841,978-1-101-62249-0,2025-10-25,2025-11-12,BR010
TXN000013,M42087,978-0-460-51648-8,2025-06-09,2025-06-30,BR005
TXN000014,M83000,978-0-680-26933-1,2026-02-12,2026-02-14,BR014
TXN000015,M40021,978-0-570-17036-5,2026-02-27,2026-03-06,BR007
TXN000016,M84341,978-1-166-20165-4,08/12/2025,2025-12-21,BR004
TXN000017,M94259,978-0-12-212154-8,2025-12-13,2025-12-31,BR003
TXN000018,M80644,978-0-519-90102-9,2025-10-22,2025-11-04,BR007
TXN000019,M57447,978-1-86103-131-0,2025-05-29,2025-06-23,BR009
TXN000020,M16175,978-1-68044-731-6,2025-12-19,2026-01-10,BR011
TXN000021,,978-0-9714920-7-3,2026-01-11,2026-01-26,BR007
TXN000022,M79352,978-0-7151-9317-4,2025-01-14,2025-02-05,BR014
TXN000023,M25014,978-1-75398-724-4,2025-10-09,2025-10-30,BR013
TXN000024,M54587,978-1-05-211203-3,2025-11-07,2025-12-01,BR003
TXN000025,M44522,978-0-631-40352-4,2025-12-23,2026-01-20,BR009
TXN000026,M91959,978-1-203-73448-0,2025-07-29,2025-08-10,BR010
TXN000027,M31174,978-1-66974-721-5,2025-03-27,,BR015
TXN000028,M52487,978-1-70900-633-3,03/01/2026,2026-01-30,BR015
TXN000029,M50306,978-1-03-845319-8,2025-05-24,2025-05-27,  BR015 
TXN000030,M21226,978-0-252-05664-2,2024-07-15,2024-07-20,  BR013 
TXN000031,M26828,978-1-05-411371-7,2024-12-11,2025-01-08,BR003
TXN000032,M89507,978-1-184-44218-3,2025-12-16,2026-01-09,BR015
TXN000033,M36365,978-1-296-44484-6,2025-04-17,2025-05-02,BR011
TXN000034,M77839,978-0-88684-302-1,2025-06-02,,BR004
TXN000035,M12757,978-1-62347-124-8,12/14/2025,2025-12-17,BR010
TXN000036,M92719,978-1-65911-665-6,2025-10-05,,BR015
TXN000037,M53309,978-0-472-64261-8,2025-12-30,2026-01-06,BR005
TXN000038,M80678,978-1-368-05373-0,2026-05-04,2026-05-30,BR010
TXN000039,M71993,978-0-558-82556-0,12/01/2026,,BR002
TXN000040,M66498,978-1-05-133793-2,12/05/2026,2026-05-14,BR008
TXN000041,M98259,978-0-329-71674-5,06/14/2026,2026-06-25,BR001
