ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-433-21819-7,Universal value-added matrix,Allan Roberts,Children,1998,4,2024-04-30,Damaged,978-0-433-21819-7
978-0-01-338908-8,Monitored global pricing structure,Grace Davison,Young Adult,1962,1,2020-03-12,Reserved,978-0-01-338908-8
978-1-379-40265-7,Cross-group multi-state capacity,Dr Kirsty Johnson,Reference,2021,2,2019-11-15,Available,978-1-379-40265-7
9780351161551,Networked didactic policy,Carole Thompson,Reference,2009,0,2017-06-14,Missing,9780351161551
978-0-7816-1849-6,Managed eco-centric monitoring,Lewis Ali-Wilkinson,Reference,1985,1,2025-03-07,Available,978-0-7816-1849-6
978-0-10-341316-7,Ergonomic executive capability,Zoe Brown,Young Adult,2023,1,2018-07-06,Available,978-0-10-341316-7
978-1-5255-3419-5,Open-architected 24/7 structure,Dean Chambers,Young Adult,1965,1,2020-08-26,Reserved,978-1-5255-3419-5
978-0-276-48350-9,Sharable motivating intranet,Dr Kathleen Berry,Young Adult,1982,4,2019-06-15,Damaged,978-0-276-48350-9
978-0-564-13953-8,Total foreground framework,Malcolm Powell-Clark,Fiction,1963,9,2024-12-20,Missing,978-0-564-13953-8
9781724238849,Pre-emptive didactic pricing structure,Hugh Williamson,Non-Fiction,1957,9,2024-01-29,Damaged,9781724238849
978-1-5328-7101-6,Managed fresh-thinking migration,Duncan Hayward,Children,1988,2,2019-04-16,Reserved,978-1-5328-7101-6
978-0-691-66978-6,Balanced zero-defect hardware,Gillian Moran,Young Adult,1977,10,2019-11-25,Missing,978-0-691-66978-6
978-0-18-451462-3,Expanded fault-tolerant task-force,Karl Patel,Reference,1993,2,2021-12-13,Checked Out,978-0-18-451462-3
978-0-482-81489-0,Switchable intangible Graphic Interface,Rhys Bibi-Bell,Young Adult,2011,4,2023-05-24,Missing,978-0-482-81489-0
978-0-528-80957-6,Face-to-face needs-based matrix,Dr Sean Jones,Young Adult,2008,0,2021-06-01,Available,978-0-528-80957-6
978-0-543-03911-8,Focused fault-tolerant array,Judith Reid,Young Adult,2021,8,2022-11-28,Available,978-0-543-03911-8
978-0-8227-8248-3,Programmable tangible time-frame,Harry Smith,Non-Fiction,1993,3,2024-10-22,Checked Out,978-0-8227-8248-3
978-0-8346-5787-8,Assimilated interactive hub,Dr Joseph Morrison,Children,1962,2,2023-09-30,Available,978-0-8346-5787-8
